Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena1_Ind0;Y_Arena1_Ind0;X_Arena2_Ind0;Y_Arena2_Ind0;X_Arena3_Ind0;Y_Arena3_Ind0;X_Arena4_Ind0;Y_Arena4_Ind0;X_Arena5_Ind0;Y_Arena5_Ind0;X_Arena6_Ind0;Y_Arena6_Ind0;X_Arena7_Ind0;Y_Arena7_Ind0;X_Arena8_Ind0;Y_Arena8_Ind0
19120;639.81;570.6637931;251.6566092;910.2922852;331.3450961;1284.692233;343.8930348;538.9060559;632.4487578;850.3156376;563.9380009;1214.98184;505.4911639;620.6011114;936.4676462;858.6875;886.125;1190.028221;839.4257504
19121;639.84;569.6911977;251.1544012;910.3253581;331.3211263;1284.770206;343.8886566;538.436716;632.2670646;850.384576;563.8793877;1215.120706;505.5649492;620.4770453;936.5271622;859.2083333;885.1666667;1190.047507;839.4281332
19122;639.87;568.6695527;250.1284271;910.5764466;331.1365933;1284.999433;344.1511546;538.4471922;632.2422291;850.3556282;564.2093664;1215.099145;505.7648352;620.5164742;936.4664414;859.5225225;885.7117117;1190.139762;839.4641387
19123;639.91;568.5140741;249.6251852;910.6776209;331.164557;1285.001697;344.0724084;538.8342479;632.3960456;851.9250274;564.8592363;1215.022412;505.8291233;620.615356;936.629485;859.5225225;885.7117117;1190.151633;839.5026742
19124;639.94;566.6165951;248.7868383;910.6701614;330.8042936;1284.927766;344.1713062;538.7664234;632.3812131;850.4666413;564.5173465;1214.82606;505.7568757;620.4966311;936.5581134;862.6926381;877.138977;1190.159119;839.4413868
19125;639.97;565.0753623;247.6014493;910.5816571;330.9455343;1284.870535;343.9456445;538.6627461;632.3835163;850.1787973;564.3148148;1215.086009;505.8493901;620.7558488;936.4192401;862.9824913;877.1678696;1190.253772;839.7963324
19126;640.01;564.1164659;247.4431058;908.3930348;336.5124378;1284.840696;343.8858505;539.2951766;632.5503876;850.2036794;564.6947625;1214.901144;505.7444607;620.3640314;936.6239728;862.8036408;877.3321061;1190.45101;840.0172175
19127;640.04;563.0461133;247.4888011;902.8285379;327.7112106;1284.967975;343.887218;538.8111841;632.2438942;850.1655464;564.7196291;1215.082531;506.0598322;620.445521;936.9339793;862.8911945;877.6171854;1190.280859;840.0215596
19128;640.07;561.3538462;246.6551282;902.7620603;327.4305782;1284.771155;343.8656385;538.72518;632.2449355;851.1063935;564.4626319;1214.967234;506.168494;620.3679556;936.7240568;862.8818096;877.5956715;1190.210696;840.2293729
19129;640.11;559.3452381;246.3002646;902.8126341;327.5202703;1284.954805;344.327773;539.2854075;632.6262132;851.168423;564.6904542;1214.75121;505.9522036;620.2820658;936.6670436;862.9186927;877.2333599;1190.168836;840.0246858
19130;640.14;557.872;244.8706667;902.7186119;327.5988792;1284.844395;344.2230088;539.2910435;632.5470174;850.6689321;564.7176389;1214.978838;506.0643626;620.3917555;936.6102075;862.8586104;877.3521898;1190.131216;840.4196436
19131;640.18;555.5097222;244.1930556;902.7283187;327.6311733;1285.041102;344.3524268;539.1575366;632.4436693;850.3859616;564.667733;1215.234276;506.2189967;620.4466292;936.5609551;862.9076892;877.4032172;1190.051888;840.4149501
19132;640.21;553.9640387;244.417704;902.7408025;327.6159831;1285.097782;344.1895797;539.1884359;632.4430018;850.2222222;564.5399266;1215.524663;506.4649533;620.5367361;936.7206539;863.0027868;877.3014546;1190.258434;840.3474576
19133;640.24;551.9224138;242.862069;902.8686076;327.6724458;1285.232599;344.2986784;538.9910819;632.4381625;850.5027128;564.7183037;1215.398772;506.4524556;620.5387327;936.3194174;863.2089292;877.4104733;1190.149217;840.2750326
19134;640.28;548.9818182;243.5363636;902.7221485;327.5928382;1285.088126;344.2741864;539.3959912;632.5661108;840.1405622;562.5819195;1215.308564;506.5650856;620.4719553;936.5285022;863.1888438;877.4043949;1190.242455;840.2306053
19135;640.31;547.5266955;243.7186147;902.7241219;326.7911142;1284.967605;344.2078569;539.4675227;632.6565123;849.7741316;564.7123393;1215.214841;506.4638197;620.2823434;936.8353675;862.9053238;877.7694812;1190.298821;840.3757048
19136;640.34;546.3114993;243.5312955;902.833689;327.0656709;1285.126571;344.3862956;539.2312588;632.5861641;839.6129059;562.596377;1215.387191;506.3026333;620.2834738;936.5146406;863.0024793;877.927686;1190.036561;840.1740681
19137;640.38;545.0849057;243.8679245;902.5254076;327.2443175;1284.905492;344.2430616;538.8390973;632.4471505;839.8314117;562.2466479;1215.337013;506.5543745;620.4647773;936.4231219;862.8991457;878.1337084;1189.776802;840.4915843
19138;640.41;543.5318182;244.7530303;902.8687591;325.205933;1285.025132;344.2097296;538.4027941;632.065301;838.7341794;561.4372466;1214.545066;506.626363;617.3512882;936.7730274;862.8777453;877.2399917;1189.342422;839.4582541
19139;640.44;542.2445415;244.9534207;902.8349257;325.3805732;1284.70767;343.970059;538.5035644;632.0567176;847.3027153;563.3087258;1214.61731;506.6734412;620.3267028;935.7709464;862.779061;877.3306524;1189.735963;839.9025757
19140;640.48;540.5884956;244.8525074;902.6154165;324.8697334;1284.830633;343.979598;539.0241569;632.2609412;840.5796434;561.6221312;1214.932078;506.7447699;620.1091699;935.8254672;862.6712051;877.2193828;1187.698242;839.1804111
